14,TOHO COMPANY LTD,12/31,VIC,Toho Group,,"2029 Century Park East, Suite 433
Los Angeles, CA 90067",,,310-277-1081,,,,NULL,6,0,1900-01-01,NULL,1900-01-01
15,TOHO INTERNATIONAL INC.,12/31,VIC,Toho Group,,"2029 Century Park East, Suite 1140
Los Angeles, CA 90067",,,424-777-0415,,,,NULL,6,0,1900-01-01,NULL,1900-01-01
16,"US Koei Technologies, Inc.",12/31,C,N/A,,"2537-D Pacific Coast Highway, #100, Torrance, CA 90505",,,310-326-4053,,,310-326-4098,NULL,6,0,1900-01-01,NULL,1900-01-01
17,Zensho USA Corporation,12/31,C,Zensho,,"27261 Las Ramblas, Suite 340, Mission Viejo, CA 92691",,,780-585-8455,,,,NULL,6,0,1900-01-01,NULL,1900-01-01
18,"Access Digital Productions, Inc.",12/31,VIC,N/A,,"Two Pennsylvania Plaza, 10th Floor, New York, NY 10121",,"633 W.5th Street, 72nd FL.Los Angeles, CA 90071",213-452-6725,,,213-833-3994,NULL,3,0,1900-01-01,NULL,1900-01-01
19,"All Nippon Airways Co., Ltd.",12/31,IC,N/A,,"21250 Hawthorne Blvd., Suite 200, Torrance, CA 90503",,"21250 Hawthorne Blvd., Suite 200, Torrance, CA 90503",310-782-3000,,,310-782-3163,NULL,3,0,1900-01-01,NULL,1900-01-01
20,"Allbright Information Services, Inc.",12/31,VIC,N/A,,"601 S. Figueroa Street Suite 3750, Los Angeles, CA 90017",,"601 S. Figueroa Street Suite 3750, Los Angeles, CA 90017",213-542-7703,,,,NULL,3,0,1900-01-01,NULL,1900-01-01
21,"Crestec USA, Inc.",06/30,IC,N/A,,"2410 Mira Mar Ave., Long Beach, CA 90815",,"2410 Mira Mar Ave., Long Beach, CA 90815",310-327-9000,,,310-532-0361,NULL,3,0,1900-01-01,NULL,1900-01-01
22,Daishowa North America Corporation,12/31,VIC,NPI Group,,"3401 Industrial Way, Longview WA 98632",,"PO Box 699, Longview WA 98632",360-636-6535,,,,NULL,3,0,1900-01-01,NULL,1900-01-01
23,"Digital Pulse Technologies, Inc.",12/31,VIC,Media Creation Technologies,,"633 W.5th Street, 61st Floor, Los Angeles, CA 90071",,"633 W.5th Street, 61st Floor, Los Angeles, CA 90071",213-452-6725,,,213-833-3994,NULL,3,0,1900-01-01,NULL,1900-01-01
24,"Dreamroom Productions, Inc.",12/31,VIC,DTI Group,,"101 N Pacific Coast Highway #300, El Segundo, CA  90245",,"101 N Pacific Coast Highway #300, El Segundo, CA  90245",213-452-6725,,,,NULL,3,0,1900-01-01,NULL,1900-01-01
25,"DTI Services, Inc.",12/31,VIC,DTI Group,,"101 N Pacific Coast Highway #300, El Segundo, CA  90245",,"101 N Pacific Coast Highway #300, El Segundo, CA  90245",213-452-6725,,,,NULL,3,0,1900-01-01,NULL,1900-01-01
26,"Eastern Car Liner (Americas), Inc.",12/31,C,N/A,,"301 E. Ocean Blvd., #270, Long Beach, CA 90802",,"301 E. Ocean Blvd., #270, Long Beach, CA 90802",562-513-1362,,,562-513-1361,NULL,3,0,1900-01-01,NULL,1900-01-01
27,E-Times Corporation,12/31,VIC,N/A,,"101 N Pacific Coast Highway #300, El Segundo, CA  90245",,"101 N Pacific Coast Highway #300, El Segundo, CA  90245",213-452-6725,,,213-833-3994,NULL,3,0,1900-01-01,NULL,1900-01-01
28,"Fukuda Denshi USA, Inc.",12/31,VIC,N/A,,"17725-C NE 65th Street, Redmond, WA 98052",,"17725-C NE 65th Street, Redmond, WA 98052",425-881-7737,,,425-869-2018,NULL,3,0,1900-01-01,NULL,1900-01-01
29,"Gamakatsu USA, Inc.",12/31,IC,N/A,,"3900 Industry Dr. E, #C1, Tacoma, WA 98424",,"3900 Industry Dr. E, #C1, Tacoma, WA 98424",253-922-8373,,,,NULL,3,0,1900-01-01,NULL,1900-01-01
30,"Global Interface Technologies, Inc.",12/31,C,Global Interface,,"Shiga Business Center 3F, 6-9-2, Ogaki, Rittoh Shiga, 520-3024, Japan",,"Shiga Business Center 3F, 6-9-2, Ogaki, Rittoh Shiga, 520-3024, Japan",81-77-554-8630,,,81-77-554-8631,NULL,3,0,1900-01-01,NULL,1900-01-01
31,"Globalintech, Inc. ",12/31,C,Global Interface,,"5201 Great America Pkwy, Suite 320, Santa Clara, CA 95054",,"5201 Great America Pkwy, Suite 320, Santa Clara, CA 95054",81-77-554-8630,,,,NULL,3,0,1900-01-01,NULL,1900-01-01
32,"Hypermedia Systems, Inc.",12/31,VIC,DTI Group,,"101 N Pacific Coast Highway #300, El Segundo, CA  90245",,"101 N Pacific Coast Highway #300, El Segundo, CA  90245",213-452-6725,,,,NULL,3,0,1900-01-01,NULL,1900-01-01
33,International Tax Advisors B.V.,12/31,C,N/A,,"Sabal Palm 57, Kralendijk, Bonaire, Caribbean Netherlands",,"Sabal Palm 57, Kralendijk, Bonaire, Caribbean Netherlands",206-201-2226,,,,,3,0,1900-01-01,,1900-01-01
34,James J. Boyle & Co.,03/31,VIC,VHA Group,,"1200 Corporate Center Dr., Ste 350, Monterey Park, CA 91754",,"1200 Corporate Center Dr., Ste 350, Monterey Park, CA 91754",323-263-8100,,,,NULL,3,0,1900-01-01,NULL,1900-01-01
35,"J-Exim, Inc.",12/31,IC,N/A,,"20505 Earl Street, Torrance, CA 90503",,"20505 Earl Street, Torrance, CA 90503",310-320-4760,,,310-320-4763,NULL,3,0,1900-01-01,NULL,1900-01-01
36,"Media Creation Technologies, Inc.",12/31,VIC,Media Creation Technologies,,"633 W.5th Street, 61st Floor, Los Angeles, CA 90071",,"633 W.5th Street, 61st Floor, Los Angeles, CA 90071",213-452-6725,,,,NULL,3,0,1900-01-01,NULL,1900-01-01
37,MHK USA LTD.,12/31,C,N/A,,"12240 Venice Blvd., Suite 11, Los Angeles, CA 90066",,"12240 Venice Blvd., Suite 11, Los Angeles, CA 90066",310-390-3244,,,310-390-3228,NULL,3,0,1900-01-01,NULL,1900-01-01
38,Mitsui-Soko (Americas) Inc.,12/31,VIC,MSU Group,,"1651 E. Glenn Curtiss Street, Carson, CA 90746",,"1651 E. Glenn Curtiss Street, Carson, CA 90746",310-900-3031,,,310-900-3031,NULL,3,0,1900-01-01,NULL,1900-01-01
39,Mitsui-Soko (U.S.A.) Inc.,12/31,VIC,MSU Group,,"1651 E. Glenn Curtiss Street, Carson, CA 90746",,"1651 E. Glenn Curtiss Street, Carson, CA 90746",310-900-3031,,,310-900-3031,NULL,3,0,1900-01-01,NULL,1900-01-01
40,NAX USA Logistics,03/31,IC,N/A,http://www.naxusa.com,"5343 W. Imperial Hwy., Suite 100, Los Angeles, CA 90045",,"5343 W. Imperial Hwy., Suite 100, Los Angeles, CA 90045",310-258-8580,+81 3 3541 3480,,310-258-8570,NULL,3,0,1900-01-01,NULL,1900-01-01
41,"Netprop Technologies, Inc.",12/31,VIC,N/A,,"700 S. Flower Street, Suite 3200, Los Angeles, CA 90017",,"700 S. Flower Street, Suite 3200, Los Angeles, CA 90017",213-452-6725,,,213-833-3994,NULL,3,0,1900-01-01,NULL,1900-01-01
42,"Nippon Paper Industries USA Co., Ltd.",12/31,VIC,NPI Group,,"3401 Industrial Way, Longview WA 98632",,"PO Box 699, Longview WA 98632",360-636-6535,,,,NULL,3,0,1900-01-01,NULL,1900-01-01
43,"Osato U.S.A., Inc.",12/31,C,N/A,,"11751 Mississippi Avenue, Suite 110, Los Angeles, CA 90025",,"11751 Mississippi Avenue, Suite 110, Los Angeles, CA 90025",310-231-1090,,,310-231-1089,NULL,3,0,1900-01-01,NULL,1900-01-01
44,"Plot USA, Inc.",01/31,C,N/A,,"5151 W. Oquendo Road, Las Vegas, NV 89118",,"5151 W. Oquendo Road, Las Vegas, NV 89118",702-798-7504,,,702-798-7506,NULL,3,0,1900-01-01,NULL,1900-01-01
45,"Real Time Concepts, Inc.",12/31,VIC,N/A,,"101 N Pacific Coast Highway #300D, El Segundo, CA  90245",,"101 N Pacific Coast Highway #300D, El Segundo, CA  90245",213-452-6725,,,,NULL,3,0,1900-01-01,NULL,1900-01-01
46,"Rocknoble, Inc.",12/31,C,N/A,,"25862 Encalyptus Drive, Laguna Hills, CA 92653",,"25862 Encalyptus Drive, Laguna Hills, CA 92653",949-472-3600,949-632-0803,,949-472-2010,NULL,3,0,1900-01-01,NULL,1900-01-01
47,"ShinMaywa (America), Ltd.",12/31,VIC,N/A,,"10737 Gateway West, Suite 240 El Paso, TX 79935",,"10737 Gateway West, Suite 240 El Paso, TX 79935",915-594-9862,,,915-594-9866,,3,0,1900-01-01,,1900-01-01
48,Shinyei Corporation of America,12/31,IC,N/A,,"1120 Avenue of Americas, 4th Fl, New York, NY 10036",,"1120 Avenue of Americas, 4th Fl, New York, NY 10036",917-484-7888,,,212-704-4206,NULL,3,0,1900-01-01,NULL,1900-01-01
49,"SNBL U.S.A., Ltd.",12/31,VIC,SNBL Group,,"6605 Merrill Creek Parkway, Everett, WA 98203",,"6605 Merrill Creek Parkway, Everett, WA 98203",425-407-0121 ,,,,NULL,3,0,1900-01-01,NULL,1900-01-01
50,"Sunrise Logistics Solutions (America), Ltd.",03/31,VIC,VHA Group,,"21061 S. Western Ave., Suite 300, Torrance, CA 90501",,"21061 S. Western Ave., Suite 300, Torrance, CA 90501",310-787-3460,,,,NULL,3,0,1900-01-01,NULL,1900-01-01
51,"USA Union International, Inc.",07/31,VIC,N/A,,"26650 The Old Road, Suite 210, Valencia, CA 91381",,"26650 The Old Road, Suite 210, Valencia, CA 91381",661-286-8805,,,661-254-1306,NULL,3,0,1900-01-01,NULL,1900-01-01
52,"Vantec Hitachi Transport System (USA), Inc.",12/31,VIC,VHA Group,,"21061 S. Western Ave., Suite 300, Torrance, CA 90501",,"21061 S. Western Ave., Suite 300, Torrance, CA 90501",310-525-2900,310-525-2910,,310-525-2919,NULL,3,0,1900-01-01,NULL,1900-01-01
53,"YRGLM Marketing of USA, Inc.",09/30,C,N/A,,"440 North Wolfe Road, Sunnyvale, CA 94085",,"2-4-9 Breeze Tower, 13F, Umeda, Kita-ku, Osaka 530-0001, Japan",408-315-6536,,,,NULL,3,0,1900-01-01,NULL,1900-01-01
54,Zojirushi America Corporation,09/30,VIC,N/A,,"19310 Pacific Gateway Drive, Suite 101, Torrance, CA 90502-1031",,"19310 Pacific Gateway Drive, Suite 101, Torrance, CA 90502-1031",310-767-4163,,,310-323-6622,NULL,3,0,1900-01-01,NULL,1900-01-01
55,Bora Pharmaceuticals USA Inc.,12/31,C,N/A,,1000 N. West Street Suite 1200 Wilmington Delaware 19801 United States of America,"Bora Pharmaceuticals 6F., No.69, Neihu Dist., Taipei City 114, Taiwan (R.O.C.)",,+886 2 2790-1555 ,,,,NULL,9,0,1900-01-01,NULL,1900-01-01
56,Hanshin Contents Link Corporation,03/31,C,N/A,,"5700 Wilshire Blvd., Ste. 500,Los Angeles, CA 90036",,"Hanshin Noda Center Building 10F, 1-1-31 Ebie, Fukushima-ku, Osaka, 553-0001 Japan",323-525-2212,,,,NULL,9,0,1900-01-01,NULL,1900-01-01
57,WORKS APPLICATIONS AMERICA INC.,06/30,IC,N/A,,"970 W. 190th Street, Suite 480, Torrance, CA 90502",,,+81 3 62291200,,,,NULL,9,0,1900-01-01,NULL,1900-01-01
58,"Yo-Zuri America, Inc.",06/30,C,N/A,,"600 NW Enterprise Drive, Port St. Lucie, FL 34986 Prior to 12/23/15 668 NW Enterprise Drive, Port St. Lucie, FL 34986",,,888-336-9775,772-336-2280,,772-336-9775,NULL,9,0,1900-01-01,NULL,1900-01-01
59,G Management LLC,12/31,IC,G Management LLC,,"999 Bishop Street, Suite 1600 Honolulu, Hawaii 96813",,"999 Bishop Street, Suite 1600 Honolulu, Hawaii 96813",310-953-2696,,,,NULL,8,0,1900-01-01,NULL,1900-01-01
60,GH Management LLC,12/31,IC,G Management LLC,,"999 Bishop Street, Suite 1600 Honolulu, Hawaii 96813",,"999 Bishop Street, Suite 1600 Honolulu, Hawaii 96813",310-953-2696,,,,NULL,8,0,1900-01-01,NULL,1900-01-01
61,"K Garage Co., Ltd.",05/31,C,N/A,,"c/o TOPC, 879 W. 190th Street # 900 Gardena, CA 90248","3-41-6 Nishihara, Shibuya-ku Tokyo, Japan, 151-0066","c/o TOPC, 879 W. 190th Street # 900 Gardena, CA 90248",310-953-2696,,,,NULL,8,0,1900-01-01,NULL,1900-01-01
62,Kabushiki Gaisha Furuta,03/31,IC,N/A,,"c/o TOPC, 879 W. 190th Street # 900 Gardena, CA 90248","2-18-1 Kachidoki Chuo-ku, Tokyo, Japan 104-0054","c/o TOPC, 879 W. 190th Street # 900 Gardena, CA 90248",310-953-2696,,,,NULL,8,0,1900-01-01,NULL,1900-01-01
63,"Suzuki, Yasuyuki",12/31,C,N/A,,"1280 Hastings Ranch Drive, Pasadena, CA 91107",,"1280 Hastings Ranch Drive, Pasadena, CA 91107",310-782-9300,,,,NULL,8,0,1900-01-01,NULL,1900-01-01
64,Anaeropharma Science U.S.A. Inc.,05/31,C,N/A,,"c/o Anaeropharma Science, Inc.4th Fl., Yaesu KH Bldg., 19-8 Nihonbashi Kabuto-cho, Chuo-ku, Tokyo 103-0026 Japan",,,81-3-5642-8081,,,81-3-5642-8082,NULL,7,0,1900-01-01,NULL,1900-01-01
65,Sansan Corporation,,C,N/A,,,,"Note: Regisered in DE. DE registration address. 113 Barksdale Professional Center Newark, DE 19711",+81 3-6758-0033,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
66,"A.D. Works Co., Ltd.",03/31,VIC,ADW Group,,"222 N. Pacific Coast Highway., Suite 1770, El Segundo, CA 90245",,,(310) 333-0860,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
67,"A.D. Works USA, Inc.",03/31,IC,ADW Group,,"222 N. Pacific Coast Highway., Suite 1770, El Segundo, CA 90245",,"222 N. Sepulveda Blvd., Suite 1770, El Segundo, CA 90245-5614",310-333-0860,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
68,AAI Leasing LLC,03/31,IC,AECAI Group,,"c/o TOPC 879 W. 190th Street, Suite 900, Gardena, CA 90248",,,81-3-6812-2209,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
69,"Advanced Estate Capital Adviser International, Inc.",03/31,IC,AECAI Group,,"c/o TOPC 879 W. 190th Street, Suite 900, Gardena, CA 90248","Level 6, Yurakucho Building, 1-10-1 Yurakucho, Chiyoda-ku, Tokyo 100-0006 Japan",,81-3-5223-2232,,,81-3-5223-2233,NULL,7,0,1900-01-01,NULL,1900-01-01
70,ADW Lending LLC,03/31,IC,ADW Group,,"222 N. Pacific Coast Highway., Suite 1770, El Segundo, CA 90245",,,+81 3 5251-7562,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
71,"ADW Management USA, Inc.",03/31,IC,ADW Group,,"222 N. Pacific Coast Highway., Suite 1770, El Segundo, CA 90245",,"A.D Works Co., Ltd. NBF Hibiya Building 13F, 1-1-7 Uchisaiwai-cho, Chiyoda-ku, Tokyo 100-0011 Japan",,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
72,ADW-No.1 LLC,03/31,IC,ADW Group,,"222 N. Pacific Coast Highway., Suite 1770, El Segundo, CA 90245",,"A.D Works Co., Ltd.NBF Hibiya Building 13F, 1-1-7 Uchisaiwai-cho, Chiyoda-ku, Tokyo 100-0011 Japan",310-333-0860,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
73,"Aoki, Norichika and Sachi",12/31,IC,BBP ITR Group,,c/o TOPC Potentia,,,213-364-3356,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
74,"Asahi Intecc USA, Inc.",12/31,IC,N/A,,"2500 Red Hill Ave., Suite 210, Santa Ana, CA 92705",,,949-756-8636,,,949-756-8165,NULL,7,0,1900-01-01,NULL,1900-01-01
75,"Denney, Lawrence F and Mariko Tomori",12/31,IC,BBP ITR Group,,N/A,"1-9-15 Kitamae, Chatan-cho Nakagami-gun, Okinawa 904-0117 Japan",,+81 3-3523-1772,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
76,Dnaform Inc.,12/31,C,N/A,https://www.dnaform.jp/en/products/,N/A,"1-1-43, Suite 402, Suehiro-cho, Yokohama Kanagawa Japan 230-004","1-1-43, Suite 402, Suehiro-cho, Yokohama Kanagawa Japan 230-004",-,,,,,7,0,1900-01-01,,1900-01-01
77,"Fukudome, Kosuke and Kazue",12/31,IC,BBP ITR Group,,"c/o TOPC 879 W. 190th Street, Suite 900, Gardena, CA 90248",,,-,,,,,7,0,1900-01-01,,1900-01-01
78,"GHS AMERICA, Inc.",12/31,C,N/A,,"c/o TOPC 879 W. 190th Street, Suite 900, Gardena, CA 90248",,,+81 6-4796-7601,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
79,"Hampstead USA Marketing Research, Inc",09/30,C,N/A,,"19200 Von Karman Ave., Suite 400, Irvine, CA 92612",,,310-212-7103,,,310-212-7809,NULL,7,0,1900-01-01,NULL,1900-01-01
80,I&AS Inc,03/31,C,AECAI Group,,N/A,1-11-1 PCP Marunouchi Chiyoda-ku Tokyo 100-6224,,+81 3-6812-2203,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
81,"JIC, Inc.",07/31,C,N/A,,"2-6-8 Sata Higashi-machi, Moriguchi-city, Osaka 570-0017, Japan",,,81-6-6902-0011,,,81-6-6905-1135,NULL,7,0,1900-01-01,NULL,1900-01-01
82,K.K.3A,03/31,C,AECAI Group,,N/A,"1-18-17, Inage-higashi, Inage-ku, Chiba-shi Chiba-ken, 263-0031 Japan",,c/o310-323-8800,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
83,"Kim, Sungyong",12/31,C,Individual,,"1121 Heatherview Dr, Oak Park, CA 91377",,,,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
84,"Kuroda, Hiroki and Masayo",12/31,IC,BBP ITR Group,,"c/o TOPC 879 W. 190th Street, Suite 900, Gardena, CA 90248",,,,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
85,"Makita, Kazuhisa",12/31,IC,BBP ITR Group,,"c/o TOPC 879 W. 190th Street, Suite 900, Gardena, CA 90248",,,,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
86,NPR of America Inc.,03/31,IC,N/A,,"MI)Shipping: 11118 US-31, Building B Grand Haven, MI 49417 CA) 7001 Village Drive, #240, Buena Park, CA 90621",,"P. O. Box 308, Grand Haven, MI 49417 ",MI)616-296-9365,CA) 562-207-6882,DET) 248-449-8955 (Ext.15),MI) 616-296-9372 CA)562-207-6883 DET)248-449-6705,NULL,7,0,1900-01-01,NULL,1900-01-01
87,"O.A. Supply International, Inc.",09/30,C,N/A,,"2444 W. 205th St., Unit A4, Torrance, CA 90501",,,310-544-6028,310-782-9020,,310-782-9095,NULL,7,0,1900-01-01,NULL,1900-01-01
88,"Otsuka, Akinori and Akemi",12/31,IC,BBP ITR Group,,"Residence:11858 Caminito Corriente San Diego, CA 92128",,,858-273-5261,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
89,"Sanbu U.S.A., Inc",05/31,C,N/A,,"c/o TOPC 879 W. 190th Street, Suite 900, Gardena, CA 90248",,,,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
90,"Satoh Brothers International, Inc.",12/31,IC,N/A,,"879 W. 190th Street, Ste. 935, Gardena, CA 90248",,,310-768-2700,,,310-532-8878,NULL,7,0,1900-01-01,NULL,1900-01-01
91,Shuji Nakamura,12/31,C,Individual,,"280 Elderberry Drive, Goleta, CA 93117",,,,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
92,"Takahashi, Akira and Yukiyo",12/31,IC,BBP ITR Group,,"5538 Bevis Avenue, Sherman Oaks, CA 91411",,,,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
93,"Tazawa, Junichi",12/31,IC,BBP ITR Group,,"c/o TOPC 879 W. 190th Street, Suite 900, Gardena, CA 90248",,,,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
94,"Top Contenders, LLC",12/31,C,BBP ITR Group,,"5538 Bevis Avenue, Sherman Oaks, CA 91411",,,213-217-5130,,,213-217-5135,NULL,7,0,1900-01-01,NULL,1900-01-01
95,"Uchikubo, Shinichiro and Tomoko",12/31,IC,BBP ITR Group,,"c/o TOPC 879 W. 190th Street, Suite 900, Gardena, CA 90248",,,,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
96,"Varad International, Inc.",12/31,C,N/A,,16412 S Avalon Blvd. Gardena CA 90248,,,310-294-8135(x122),Japan: 81-569-21-6182,,800-903-8839 Japan:81-569-26-0038,NULL,7,0,1900-01-01,NULL,1900-01-01
97,Yamaha Corporation,12/31,VIC,Yamaha,,"6600 Orangethorpe Avenue Buena Park, CA 90620",,,714-522-9011,,,714-522-9310,NULL,7,0,1900-01-01,NULL,1900-01-01
98,Yamaha Group - Line 6 Inc.,12/31,VIC,Yamaha,,"6600 Orangethorpe Avenue Buena Park, CA 90620",,,714-522-9011,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
99,"Yamaha Group - Revolabs, Inc.",12/31,VIC,Yamaha,,"6600 Orangethorpe Avenue Buena Park, CA 90620",,,714-522-9011,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
100,"Yoneda, Akimasa",12/31,C,Individual,,N/A,"1846-52 Furuichi-cho, Nara-shi, Japan",,,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
101,Yukio Shiratori,12/31,C,Individual,,"2204 S. Bentley Ave. #103, Los Angeles, CA 90064",,,,,,,NULL,7,0,1900-01-01,NULL,1900-01-01
102,maruFreight Inc.,12/31,C,N/A,,,,,,,,,NULL,4,0,1900-01-01,NULL,1900-01-01
103,"Marumatsu, Inc.",03/31,IC,Marumatsu Group,,"2202 W. Artesia Blvd., Ste. M Torrance, CA 90504",,,310-217-9848,,,310-217-9851,NULL,4,0,1900-01-01,NULL,1900-01-01
104,Maruwa America Corp,03/31,IC,N/A,,"Santa Ana: 200 E. Sandpointe, Suite 525, Santa Ana, CA 92707 San Jose: 2025 Gateway Pl., #482, San Jose, CA 95110","HDQ: 3-83 Minamihonjigahara-cho, Owariasahi-city, Aichi, 488-0044 Japan",,SantaAna:714-668-0400,San Jose: 408-451-9822,,Santa Ana: 714-668-0900 San Jose: 408-451-9897,NULL,4,0,1900-01-01,NULL,1900-01-01
105,Nippon Trans Pacific Corporation,12/31,IC,N/A,,"18620 Crenshaw Torrance, CA 90504",,,310-515-4847,,,,NULL,4,0,1900-01-01,NULL,1900-01-01
106,Toei Animation Inc.,12/31,VIC,N/A,http://www.toei-anim.co.jp,"11150 W. Olympic Blvd. Suite 800 Los Angeles, CA 90064",,,310-996-2240,,,,NULL,4,0,1900-01-01,NULL,1900-01-01
107,"Toyota Motor Personnel Services, USA Inc",12/31,VIC,N/A,,"1630 W. 186th Street Gardena, CA 90248",,,310-787-5503,,,310-381-8755,NULL,4,0,1900-01-01,NULL,1900-01-01
0,TOPC,,,,,,,,,,,,NULL,1,0,1900-01-01,NULL,1900-01-01
108,"Amano, Satoru",,VIC,,,,,,,,,,,0,0,1900-01-01,,1900-01-01
109,"Lawrence, William B and Mi Ae",,C,,,,,,,,,,,0,0,1900-01-01,,1900-01-01
110,"Marui Co., Ltd",,C,,,,,,,,,,,0,0,1900-01-01,,1900-01-01
111,"Advanced Video Communications, Inc.",,,,,,,,,,,,,0,0,1900-01-01,,1900-01-01
112,"Hiraoka (USA), Inc.",03/31,,,,,,,,,,,,0,0,1900-01-01,,1900-01-01
113,Hitachi Advanced Clean Energy Corporation,03/31,IC,,,,,,,,,,,0,0,1900-01-01,,1900-01-01
114,"Shen, Betty",,,,,,,,,,,,,0,0,1900-01-01,,1900-01-01
116,"Saito, Akihito and Naomi",,,,,,,,,,,,,0,0,1900-01-01,,1900-01-01
117,"Kenko Tokina USA, Inc.",,C,,,,,,,,,,,0,0,1900-01-01,,1900-01-01
120,"Flight System USA, Inc.",03/31,,,,,,,,,,,,0,0,1900-01-01,,1900-01-01
121,"FujiSeiki USA, INC.",,C,,,,,,,,,,,0,0,1900-01-01,,1900-01-01
122,Peter Fincke,,C,,,,,,,,,,,0,0,1900-01-01,,1900-01-01
123,WAKOU USA INC.,,IC,,,,,,,,,,,0,0,1900-01-01,,1900-01-01
126,"Nomo, Hideo and Kikuko",12/31,,,,,,,,,,,,0,0,1900-01-01,,1900-01-01
128,TMPS,,,,,,,,,,,,,0,0,1900-01-01,,1900-01-01
